,SMILES,RT,Speed,i-PrOH_proportion,Literature
32,C[C@H]\1CC(=O)N(C1=C/c2cc(C)cc(C)c2)C(C)(C)c3ccccn3,6.1,0.8,0.08,10.1002/anie.202004504
33,C[C@@H]\1CC(=O)N(C1=C/c2cc(C)cc(C)c2)C(C)(C)c3ccccn3,5.4,0.8,0.08,10.1002/anie.202004504
34,CC(C)(C)OC(=O)N1C(=O)[C@@](CC=C)(c2ccccc2)c3ccccc13,5.9,1.0,0.1,10.1002/adsc.201501155
35,CC(C)(C)OC(=O)N1C(=O)[C@](CC=C)(c2ccccc2)c3ccccc13,5.5,1.0,0.1,10.1002/adsc.201501155
36,CCC[C@@H](C#Cc1ccccc1)c2ccccc2C(=O)NC(C)(C)C,7.57,0.8,0.1,10.1038/s41467/019/13705/1
37,CCC[C@H](C#Cc1ccccc1)c2ccccc2C(=O)NC(C)(C)C,5.51,0.8,0.1,10.1038/s41467/019/13705/1
38,C[C@@H](C#CCCO)c1ccccc1C(=O)NC(C)(C)C,7.97,0.8,0.2,10.1038/s41467/019/13705/1
39,C[C@H](C#CCCO)c1ccccc1C(=O)NC(C)(C)C,5.55,0.8,0.2,10.1038/s41467/019/13705/1
40,CC(C)(C)NC(=O)c1ccccc1[C@@H](CC=C)C#Cc2ccccc2,9.17,0.8,0.1,10.1038/s41467/019/13705/1
41,CC(C)(C)NC(=O)c1ccccc1[C@H](CC=C)C#Cc2ccccc2,5.6,0.8,0.1,10.1038/s41467/019/13705/1
42,C1Cc2ccccc2CN1[C@H](\C=C\c3ccccc3)c4ccccc4,6.67,1.0,0.03,10.1039/C4CC03920C
43,C1Cc2ccccc2CN1[C@@H](\C=C\c3ccccc3)c4ccccc4,5.647,1.0,0.03,10.1039/C4CC03920C
44,C[C@@H](C#Cc1ccc(C)cc1)c2ccccc2C(=O)NC(C)(C)C,10.25,0.8,0.1,10.1038/s41467/019/13705/1
45,C[C@H](C#Cc1ccc(C)cc1)c2ccccc2C(=O)NC(C)(C)C,5.69,0.8,0.1,10.1038/s41467/019/13705/1
46,C[C@@H](C#Cc1ccccc1)c2ccc(Cl)cc2C(=O)NC(C)(C)C,10.13,0.8,0.1,10.1038/s41467/019/13705/1
47,C[C@H](C#Cc1ccccc1)c2ccc(Cl)cc2C(=O)NC(C)(C)C,5.79,0.8,0.1,10.1038/s41467/019/13705/1
48,CCO[C@H](NC(=O)c1ccccc1)c2ccccc2CCCC(F)(F)F,6.4,1.0,0.1,10.1002/anie.201405401
49,CCO[C@@H](NC(=O)c1ccccc1)c2ccccc2CCCC(F)(F)F,5.8,1.0,0.1,10.1002/anie.201405401
50,C[C@@H](C#Cc1cccc(Br)c1)c2ccccc2C(=O)NC(C)(C)C,6.8,0.8,0.1,10.1038/s41467/019/13705/1
51,C[C@H](C#Cc1cccc(Br)c1)c2ccccc2C(=O)NC(C)(C)C,5.81,0.8,0.1,10.1038/s41467/019/13705/1
52,C[C@@H](C#Cc1ccccc1)c2cc(C)ccc2C(=O)NC(C)(C)C,11.1,0.8,0.1,10.1038/s41467/019/13705/1
