,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
2044,2044,C[C@@H]1NC(=O)c2ccc(C)cc2c3ccccc13,17.5,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
2045,2045,C[C@H]1NC(=O)c2ccc(C)cc2c3ccccc13,11.4,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
2066,2066,C[C@@H]1NC(=O)c2cc(Cl)ccc2c3ccccc13,18.4,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
2067,2067,C[C@H]1NC(=O)c2cc(Cl)ccc2c3ccccc13,11.5,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
2078,2078,CN(C)C(=O)[C@H](N)c1cccc2ccccc12,7.73,1.0,0.15,10.1002/anie.202202552,AD3
2079,2079,CN(C)C(=O)[C@@H](N)c1cccc2ccccc12,11.52,1.0,0.15,10.1002/anie.202202552,AD3
2089,2089,Fc1cccc(c1)[C@H]2CCC(=O)N2,12.6,0.8,0.1,10.1021/acs.orglett.0c00669,AD3
2090,2090,Fc1cccc(c1)[C@@H]2CCC(=O)N2,11.6,0.8,0.1,10.1021/acs.orglett.0c00669,AD3
2091,2091,C[C@@H]1NC(=O)c2c(C)cccc2c3ccccc13,15.2,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
2092,2092,C[C@H]1NC(=O)c2c(C)cccc2c3ccccc13,11.6,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
2104,2104,O=C1OCC[C@H]1Cc2ccccc2,13.176,1.0,0.05,10.1039/D0CC06311H,AD3
2105,2105,O=C1OCC[C@@H]1Cc2ccccc2,11.621,1.0,0.05,10.1039/D0CC06311H,AD3
2133,2133,Fc1ccc(cc1)[C@@H]2NCCc3ccccc23,11.0,0.8,0.3,10.1039/C8CC03586E,AD3
2134,2134,Fc1ccc(cc1)[C@H]2NCCc3ccccc23,11.7,0.8,0.3,10.1039/C8CC03586E,AD3
2135,2135,C[C@@H]1NC(=O)c2ccc(F)cc2c3ccccc13,13.8,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
2136,2136,C[C@H]1NC(=O)c2ccc(F)cc2c3ccccc13,11.7,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
2137,2137,C[C@@H]1NC(=O)c2cc(F)ccc2c3ccccc13,22.1,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
2138,2138,C[C@H]1NC(=O)c2cc(F)ccc2c3ccccc13,11.7,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
2165,2165,CC(C)(C)C#C[C@@H](CCc1ccccc1)C#CCn2c3ccccc3c4ccccc24,14.11,0.4,0.03,10.1038/s41557/019/0346/2,AD3
2166,2166,CC(C)(C)C#C[C@H](CCc1ccccc1)C#CCn2c3ccccc3c4ccccc24,11.79,0.4,0.03,10.1038/s41557/019/0346/2,AD3
2212,2212,COc1ccc2c(c1)C(=O)N[C@@H](C)c3ccccc23,20.6,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
2213,2213,COc1ccc2c(c1)C(=O)N[C@H](C)c3ccccc23,11.9,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
2216,2216,CC1(C)CN(C(=O)Nc2ccc(Br)cc2)[C@@](CC(F)(F)F)(C1)c3ccccc3,21.5,0.6,0.15,10.1021/jacs.6b04077,AD3
2217,2217,CC1(C)CN(C(=O)Nc2ccc(Br)cc2)[C@](CC(F)(F)F)(C1)c3ccccc3,11.91,0.6,0.15,10.1021/jacs.6b04077,AD3
2244,2244,CC1(C)CN(C(=O)Nc2ccc(Br)cc2)[C@@](CC(F)(F)F)(C1)c3ccccc3,21.33,0.6,0.15,10.1038/ncomms14841,AD3
2245,2245,CC1(C)CN(C(=O)Nc2ccc(Br)cc2)[C@](CC(F)(F)F)(C1)c3ccccc3,12.01,0.6,0.15,10.1038/ncomms14841,AD3
2265,2265,O[C@@H]1CCCC(=C1Br)c2ccc3ccccc3c2,15.4,1.0,0.05,10.1021/acs.orglett.1c01744,AD3
2266,2266,O[C@H]1CCCC(=C1Br)c2ccc3ccccc3c2,12.1,1.0,0.05,10.1021/acs.orglett.1c01744,AD3
2291,2291,C[C@H](C(O)=O)c1ccc(F)cc1,13.79,0.8,0.03,10.1021/acs.orglett.2c00852,AD3
2292,2292,C[C@@H](C(O)=O)c1ccc(F)cc1,12.18,0.8,0.03,10.1021/acs.orglett.2c00852,AD3
2303,2303,COc1ccc2CC[C@H](C)Nc2c1,13.5,0.5,0.05,10.1039/C8CC03586E,AD3
2304,2304,COc1ccc2CC[C@@H](C)Nc2c1,12.2,0.5,0.05,10.1039/C8CC03586E,AD3
2326,2326,COc1cccc(NC(=O)N2CC(C)(C)C[C@@]2(CC(F)(F)F)c3ccccc3)c1,17.43,0.5,0.15,10.1021/jacs.6b04077,AD3
2327,2327,COc1cccc(NC(=O)N2CC(C)(C)C[C@]2(CC(F)(F)F)c3ccccc3)c1,12.28,0.5,0.15,10.1021/jacs.6b04077,AD3
2330,2330,FC(F)(F)c1cc(NC(=O)N2CC3(CCCC3)C[C@@]2(CN4CCCCC4)c5ccccc5)cc(c1)C(F)(F)F,13.24,0.3,0.1,10.1016/j.chempr.2017.10.008,AD3
