,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
657,657,C\C(=C/[C@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5cccc(Cl)c5,7.25,1.0,0.1,10.1002/anie.201900955,IC
685,685,Cc1cc(C)cc(c1)C(=O)[C@@]2(OCCC[C@@H]2F)c3cc(C)cc(C)c3,9.32,1.0,0.1,10.1002/chem.201202444,IC
747,747,CCCCCC[C@@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)C,5.3,1.0,0.3,10.1021/jacs.5b09117,IC
748,748,CCCCCC[C@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)C,7.6,1.0,0.3,10.1021/jacs.5b09117,IC
749,749,CCCC[C@@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)C,5.5,1.0,0.3,10.1021/jacs.5b09117,IC
750,750,CCCC[C@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)C,7.6,1.0,0.3,10.1021/jacs.5b09117,IC
804,804,O=C1C[C@@]2(C(=O)N(Cc3ccccc3)c4ccccc24)C(=C(O1)c5ccccc5)C(=O)c6ccccc6,6.5,1.0,0.1,10.1039/C8RA02009D,IC
805,805,O=C1C[C@]2(C(=O)N(Cc3ccccc3)c4ccccc24)C(=C(O1)c5ccccc5)C(=O)c6ccccc6,7.8,1.0,0.1,10.1039/C8RA02009D,IC
817,817,C\C(=C/[C@@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5cccc(Cl)c5,4.97,1.0,0.1,10.1002/anie.201900955,IC
818,818,C\C(=C/[C@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5cccc(Cl)c5,7.87,1.0,0.1,10.1002/anie.201900955,IC
842,842,C\C(=C/[C@@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccc(Cl)cc5,5.38,1.0,0.1,10.1002/anie.201900955,IC
843,843,C\C(=C/[C@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccc(Cl)cc5,7.91,1.0,0.1,10.1002/anie.201900955,IC
882,882,Cc1ccc(cc1)[C@H](C#C)C(=C)C(=O)OCc2ccccc2,7.61,1.0,0.01,10.1021/jacs.7b08207,IC
883,883,Cc1ccc(cc1)[C@@H](C#C)C(=C)C(=O)OCc2ccccc2,8.09,1.0,0.01,10.1021/jacs.7b08207,IC
