,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
1207,1207,FC(F)(F)C(F)(F)C(F)(F)[C@]1(Cc2ccc(Br)cc2C1=O)C(=O)OC34CC5CC(CC(C5)C3)C4,5.826,1.0,0.18,10.1021/acs.orglett.7b03826,AD
1208,1208,FC(F)(F)C(F)(F)C(F)(F)[C@@]1(Cc2ccc(Br)cc2C1=O)C(=O)OC34CC5CC(CC(C5)C3)C4,8.955,1.0,0.18,10.1021/acs.orglett.7b03826,AD
1223,1223,CCOC(=O)[C@H](CC(=O)c1ccc(F)cc1)C[N+]([O-])=O,7.81,1.0,0.3,10.1039/B905033G,AD
1224,1224,CCOC(=O)[C@@H](CC(=O)c1ccc(F)cc1)C[N+]([O-])=O,9.02,1.0,0.3,10.1039/B905033G,AD
1227,1227,CCCC[C@]1(CC=C(COC1=O)c2ccccc2)c3ccccc3,10.88,1.0,0.1,10.1021/jacs.8b12095,AD
1228,1228,CCCC[C@@]1(CC=C(COC1=O)c2ccccc2)c3ccccc3,9.04,1.0,0.1,10.1021/jacs.8b12095,AD
1251,1251,C=CCC[C@]1(CC=C(COC1=O)c2ccccc2)c3ccccc3,11.62,1.0,0.098901,10.1021/jacs.8b12095,AD
1252,1252,C=CCC[C@@]1(CC=C(COC1=O)c2ccccc2)c3ccccc3,9.11,1.0,0.098901,10.1021/jacs.8b12095,AD
1257,1257,FC(F)(F)c1ccc(cc1)C(=O)[C@@]2(OCCC[C@@H]2Br)c3ccc(cc3)C(F)(F)F,7.73,1.0,0.1,10.1021/ja201794v,AD
1264,1264,F[C@@H]1CCCO[C@@]1(C(=O)c2ccccc2)c3ccccc3,6.98,1.0,0.1,10.1002/chem.201202444,AD
1307,1307,CC(=O)c1ccc(cc1)[C@@H](CCCc2ccccc2)CC(=O)NC(C)(C)c3ccccn3,10.3,0.7,0.3,10.1002/anie.201804197,AD
1308,1308,CC(=O)c1ccc(cc1)[C@H](CCCc2ccccc2)CC(=O)NC(C)(C)c3ccccn3,9.3,0.7,0.3,10.1002/anie.201804197,AD
1309,1309,CC(C[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O)c3ccccc3,10.4,0.7,0.2,10.1002/anie.201804197,AD
1310,1310,CC(C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O)c3ccccc3,9.3,0.7,0.2,10.1002/anie.201804197,AD
1354,1354,Cl[C@H]1CCCO[C@]1(C(=O)c2ccccc2)c3ccccc3,7.03,1.0,0.1,10.1021/ja201794v,AD
1355,1355,Cl[C@@H]1CCCO[C@]1(C(=O)c2ccccc2)c3ccccc3,9.4,1.0,0.1,10.1021/ja201794v,AD
1368,1368,CCOC(=O)[C@](C[N+]([O-])=O)(Sc1cccc(C)c1)c2ccccc2,10.07,1.0,0.05,10.1021/ol901572x,AD
1369,1369,CCOC(=O)[C@@](C[N+]([O-])=O)(Sc1cccc(C)c1)c2ccccc2,9.43,1.0,0.05,10.1021/ol901572x,AD
1404,1404,Cc1ccccc1[C@H](C#C)C(=C)C(=O)OCc2ccccc2,8.73,1.0,0.01,10.1021/jacs.7b08207,AD
1405,1405,Cc1ccccc1[C@@H](C#C)C(=C)C(=O)OCc2ccccc2,9.54,1.0,0.01,10.1021/jacs.7b08207,AD
1428,1428,Br[C@H]1CCCO[C@]1(C(=O)c2ccccc2)c3ccccc3,7.39,1.0,0.1,10.1021/ja201794v,AD
1429,1429,Br[C@@H]1CCCO[C@]1(C(=O)c2ccccc2)c3ccccc3,9.61,1.0,0.1,10.1021/ja201794v,AD
1478,1478,O=C1OC\C(C[C@]1(Cc2ccccc2)c3ccccc3)=C/c4ccccc4,12.33,1.0,0.15,10.1016/j.scib.2021.04.037,AD
1479,1479,O=C1OC\C(C[C@@]1(Cc2ccccc2)c3ccccc3)=C/c4ccccc4,9.83,1.0,0.15,10.1016/j.scib.2021.04.037,AD
1575,1575,Cc1ccc(cc1)[C@]2(C)CC=C(COC2=O)c3ccccc3,11.38,1.0,0.1,10.1021/jacs.8b12095,AD
1576,1576,Cc1ccc(cc1)[C@@]2(C)CC=C(COC2=O)c3ccccc3,10.11,1.0,0.1,10.1021/jacs.8b12095,AD
1619,1619,Cc1ccc(cc1)C2=CC[C@](C)(C(=O)OC2)c3ccccc3,12.28,1.0,0.1,10.1021/jacs.8b12095,AD
1620,1620,Cc1ccc(cc1)C2=CC[C@@](C)(C(=O)OC2)c3ccccc3,10.27,1.0,0.1,10.1021/jacs.8b12095,AD
1648,1648,C[C@@](CBr)(C(=O)c1ccc(F)cc1)c2ccc(F)cc2,9.12,1.0,0.01,10.1039/C1SC00295C,AD
1649,1649,C[C@](CBr)(C(=O)c1ccc(F)cc1)c2ccc(F)cc2,10.32,1.0,0.01,10.1039/C1SC00295C,AD
1650,1650,CCOC(=O)[C@](C[N+]([O-])=O)(Sc1ccc2ccccc2c1)c3ccc(cc3)C4(C)OCCO4,11.06,1.0,0.2,10.1021/ol901572x,AD
1651,1651,CCOC(=O)[C@@](C[N+]([O-])=O)(Sc1ccc2ccccc2c1)c3ccc(cc3)C4(C)OCCO4,10.32,1.0,0.2,10.1021/ol901572x,AD
1652,1652,CCOC(=O)[C@H](CC(=O)c1ccc(Cl)cc1)C[N+]([O-])=O,8.96,1.0,0.3,10.1039/B905033G,AD
1653,1653,CCOC(=O)[C@@H](CC(=O)c1ccc(Cl)cc1)C[N+]([O-])=O,10.37,1.0,0.3,10.1039/B905033G,AD
1674,1674,C[C@]1(CC=C(COC1=O)c2ccccc2)c3cccc(Cl)c3,12.22,1.0,0.1,10.1021/jacs.8b12095,AD
1675,1675,C[C@@]1(CC=C(COC1=O)c2ccccc2)c3cccc(Cl)c3,10.43,1.0,0.1,10.1021/jacs.8b12095,AD
1720,1720,CCOC(=O)[C@](C[N+]([O-])=O)(Sc1ccccc1)c2ccccc2,11.54,1.0,0.05,10.1021/ol901572x,AD
1721,1721,CCOC(=O)[C@@](C[N+]([O-])=O)(Sc1ccccc1)c2ccccc2,10.52,1.0,0.05,10.1021/ol901572x,AD
1730,1730,CC[C@]1(CC=C(COC1=O)c2ccccc2)c3ccccc3,12.3,1.0,0.1,10.1021/jacs.8b12095,AD
1731,1731,CC[C@@]1(CC=C(COC1=O)c2ccccc2)c3ccccc3,10.57,1.0,0.1,10.1021/jacs.8b12095,AD
1872,1872,C[C@]1(CC=C(COC1=O)c2ccccc2)c3cccc(F)c3,13.05,1.0,0.1,10.1021/jacs.8b12095,AD
1873,1873,C[C@@]1(CC=C(COC1=O)c2ccccc2)c3cccc(F)c3,10.97,1.0,0.1,10.1021/jacs.8b12095,AD
1888,1888,C[C@]1(CC=C(COC1=O)c2cccc(Br)c2)c3ccccc3,12.35,1.0,0.1,10.1021/jacs.8b12095,AD
1889,1889,C[C@@]1(CC=C(COC1=O)c2cccc(Br)c2)c3ccccc3,11.01,1.0,0.1,10.1021/jacs.8b12095,AD
1918,1918,CC(C)[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O,9.5,0.7,0.2,10.1002/anie.201804197,AD
1919,1919,CC(C)[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O,11.1,0.7,0.2,10.1002/anie.201804197,AD
1926,1926,COc1ccc(CN2CCC(=C\C[C@@](C)(C(=O)OC2=O)c3ccccc3)/c4ccc(F)cc4)cc1,14.01,1.0,0.3,10.1002/anie.202005313,AD
1927,1927,COc1ccc(CN2CCC(=C\C[C@](C)(C(=O)OC2=O)c3ccccc3)/c4ccc(F)cc4)cc1,11.1,1.0,0.3,10.1002/anie.202005313,AD
2032,2032,CC(=O)c1ccc(cc1)[C@H](CC(=O)NC(C)(C)c2ccccn2)Cc3ccc(F)cc3,14.8,0.7,0.3,10.1002/anie.201804197,AD
2033,2033,CC(=O)c1ccc(cc1)[C@@H](CC(=O)NC(C)(C)c2ccccn2)Cc3ccc(F)cc3,11.4,0.7,0.3,10.1002/anie.201804197,AD
2051,2051,CCOC(=O)[C@H](CC(=O)c1ccc(Br)cc1)C[N+]([O-])=O,9.92,1.0,0.3,10.1039/B905033G,AD
2052,2052,CCOC(=O)[C@@H](CC(=O)c1ccc(Br)cc1)C[N+]([O-])=O,11.44,1.0,0.3,10.1039/B905033G,AD
2053,2053,CC[C@@]1(C\C=C(/CCN(Cc2ccc(OC)cc2)C(=O)OC1=O)c3ccccc3)c4ccccc4,13.59,1.0,0.3,10.1002/anie.202005313,AD
